날짜,시도,측정소명,측정소코드,아황산가스,일산화탄소,오존,이산화질소,PM10,PM2.5
2020-05-01 01,서울 중구,중구,111121,.003,.3,.038,.008,34,25
2020-05-01 02,서울 중구,중구,111121,.002,.3,.038,.007,37,26
2020-05-01 03,서울 중구,중구,111121,.003,.4,.036,.009,38,29
2020-05-01 04,서울 중구,중구,111121,.002,.4,.037,.008,43,31
2020-05-01 05,서울 중구,중구,111121,.003,.4,.038,.008,43,33
2020-05-01 06,서울 중구,중구,111121,.003,.5,.03,.013,45,32
2020-05-01 07,서울 중구,중구,111121,.003,.4,.032,.015,42,29
2020-05-01 08,서울 중구,중구,111121,.003,.4,.031,.019,38,28
2020-05-01 09,서울 중구,중구,111121,.002,.4,.034,.018,41,31
2020-05-01 10,서울 중구,중구,111121,.003,.5,.037,.02,49,38
2020-05-01 11,서울 중구,중구,111121,.003,.5,.04,.016,59,42
2020-05-01 12,서울 중구,중구,111121,.003,.5,.044,.013,56,46
2020-05-01 13,서울 중구,중구,111121,.003,.5,.049,.013,58,47
2020-05-01 14,서울 중구,중구,111121,.003,.5,.054,.011,56,44
2020-05-01 15,서울 중구,중구,111121,.003,.4,.051,.01,53,40
2020-05-01 16,서울 중구,중구,111121,.003,.4,.043,.012,51,32
2020-05-01 17,서울 중구,중구,111121,.003,.5,.038,.012,49,33
2020-05-01 18,서울 중구,중구,111121,.002,.4,.035,.011,46,31
2020-05-01 19,서울 중구,중구,111121,.002,.4,.03,.012,61,30
2020-05-01 20,서울 중구,중구,111121,.002,.3,.028,.01,76,28
2020-05-01 21,서울 중구,중구,111121,.003,.3,.028,.01,51,28
2020-05-01 22,서울 중구,중구,111121,.002,.3,.029,.01,42,28
2020-05-01 23,서울 중구,중구,111121,.002,.3,.033,.01,53,30
2020-05-01 24,서울 중구,중구,111121,.002,.4,.036,.01,50,34
2020-05-02 01,서울 중구,중구,111121,.003,.4,.041,.009,56,37
2020-05-02 02,서울 중구,중구,111121,.002,.4,.045,.007,53,38
2020-05-02 03,서울 중구,중구,111121,.002,.4,.04,.008,65,47
2020-05-02 04,서울 중구,중구,111121,.002,.4,.042,.007,57,43
2020-05-02 05,서울 중구,중구,111121,.002,.4,.04,.008,48,35
2020-05-02 06,서울 중구,중구,111121,.003,.4,.035,.01,43,33
2020-05-02 07,서울 중구,중구,111121,.002,.5,.026,.016,44,35
2020-05-02 08,서울 중구,중구,111121,.002,.5,.023,.016,51,33
2020-05-02 09,서울 중구,중구,111121,.003,.6,.023,.017,55,32
2020-05-02 10,서울 중구,중구,111121,.002,.5,.018,.017,45,32
2020-05-02 11,서울 중구,중구,111121,.003,.4,.017,.015,45,31
2020-05-02 12,서울 중구,중구,111121,.002,.3,.019,.014,47,31
2020-05-02 13,서울 중구,중구,111121,.002,.3,.026,.01,43,27
2020-05-02 14,서울 중구,중구,111121,.002,.3,.028,.011,41,25
2020-05-02 15,서울 중구,중구,111121,.002,.3,.03,.01,29,21
2020-05-02 16,서울 중구,중구,111121,.003,.3,.029,.011,36,22
2020-05-02 17,서울 중구,중구,111121,.002,.3,.027,.013,37,25
2020-05-02 18,서울 중구,중구,111121,.003,.3,.026,.013,36,23
2020-05-02 19,서울 중구,중구,111121,.003,.4,.021,.016,39,27
2020-05-02 20,서울 중구,중구,111121,.003,.4,.02,.014,38,26
2020-05-02 21,서울 중구,중구,111121,.002,.3,.021,.011,36,24
2020-05-02 22,서울 중구,중구,111121,.002,.3,.023,.009,39,21
2020-05-02 23,서울 중구,중구,111121,.002,.3,.019,.013,32,21
